word,mean,synonym
creep,vi./n. 缓慢地行进,slowly
crescendo,n.（渐强之后到达的）顶峰,peak
crest,n. 顶部，浪尖，山顶,the top
crestfallen,adj.垂头丧气的，沮丧的,depressed
cronyism,n. 任人唯亲，对好友的偏袒,favoritism friends
crook,vt. 使弯曲,away from a straight line
croon,v. 低声歌唱或说话,murmuring
culminate,v. 达到高潮,triumphant conclusion
crucial,adj. 非常重要的，决定性的,extremely significant
crumple,v. 弄皱,bend
crutch,n./v. 支撑，支柱,supports
crux,n. 中心，关键点,crirical point
cryptic,"adj.秘密的   adj.难以理解的","1. secret 2. beyond one's powers to know"
culpable,adj. 该受谴责的，有罪的,deserving blame
cultivate,"vt. 提升，加强   vt.种植，培养","1. improve2. promote growth"
cumbersome,adj. 笨重的，难处理的,difficult to handle
cunning,adj. 狡猾的,artful deceptiveness
curmudgeon,n. 脾气坏的、爱抱怨的人,irritable and complaining
cursory,adj. 匆忙的，不注意细节的,excessive or careless speed
curt,adj. 言辞简略的，直接（以致显得粗鲁）的,direct brief and potentially rude
curtail,vt. 缩短，削减,less in extent or duration
cynic,n. 反人类的喷子,selfishness
dabble,vi.涉猎，对…浅尝辄止,superficially
daft,adj. 不明智的,lack of good sense or judgement
dazzling,adj. 炫目的，耀眼的,reflecting much light
dally,vi. 虚度时光,doing nothing
damper,n. 抑制因素,restrains; depresses
dandy,n. 纨绔子弟，爱打扮的人,appearance
dank,adj. 阴湿的,wet
dapper,adj. 衣冠整洁的,strikingly neat and trim
dappled,adj. 有斑点的，花的,marked with small spots
daredevil,adj./n. 大胆鲁莽的（人）,foolishly
dart,"vi. 突然移动，猛冲，狂奔  n. 公开侮辱","1. suddenly 2. intended to hurt another's fellings"
daunt,vt. 使胆怯，吓倒,to lessen the courage
dawdle,v. 拖拖拉拉,slowly
deadpan,n. 无趣的，无生气的，不活泼的,impassively
dearth,n. 供应不足,inadequate
debacle,n. 溃败,complete failure
debark,v.（使）下船（飞机，车等）；卸（客，货）,unload from a ship or an airplane
debase,v. 贬低，贬损,lower standing
debilitate,vt. 使衰弱,impair strength
debris,n. 废墟,discarded useless material
debunk,vt. 揭露…的真面目,true nature
debut,n. 初次登台，出道,first appearance
decadence,n. 衰落，颓废,deterioration or decline
detest,v. 厌恶,dislike
decipher,"vt. 破译    vt. 对…有清晰的想法，理解，解读","1. interpret2. clear idea"
decode,"vt. 解码   vt. 对…有清晰的想法，理解，解读","1. change into ordinary language2. clear idea"
decorous,adj. 得体端正的,refined society and good taste
decrepit,adj. 虚弱的，衰老的，破旧的,weakened
default,n. 不履行义务，玩忽职守,nonperformance
defer,v. 推迟，延期    vi. 遵从,postpone
document,v.证实,show truth by evidence
deficiency,n. 缺乏，不足,inadequate
devious,adj. 狡猾的,lie and trick
deft,adj. 灵巧的，熟练的,skill
defuse,vt. 抚慰，减轻,make less tense
defy,vt. 蔑视,confront with resistance
dehydrate,"vt. 去除水分，使干燥    v. 使失去活力","1. remove water2. deprive of vitality"
deify,vt. 尊崇，尊敬,high status or value to
deject,vt. 使沮丧,lower the spirits; dishearten
deleterious,adj. 有害的,harmful
deliberate,adj. 深思熟虑的,careful
delicacy,n. （外貌、结构等） 精致,fineness
delirium,n. 精神错乱；极度兴奋，发狂,mental disturbance
delusion,n. 错觉，妄想,false 
deluge,"n. 大暴雨；n. 大量","1. drenching rain2. great flow"
delve,v. 探究，钻探,detailed search for information
demagogue,n. 蛊惑民心的政客,leader false claims
demanding,adj. 难取悦的，难满足的    adj. 费时间花心思的,"1. satisfied 2. requiring careful attention"
demolition,n. 破坏，毁坏,destroying
demonstrate,vt. （通过证据）证明，表明,make clear by using examples
demoralize,vt. 使士气低落   vt. 贬低，使堕落,"1. dishearten 2. lower in character"
demotic,adj. 通俗的，大众化的,common
demur,n./vi. 表示异议，反对,opposition; object
denigrate,vt. 诋毁，污蔑,scornfully
disingenuous,adj.不真诚的，假惺惺的,not truly honest
denounce,vt. 公开指责,public or formal disapproval
dent,vt. （数量、程度上）削弱,make smaller
denude,vt. 脱去，使赤裸,bare
deplete,vt. 耗尽，使衰竭,make complete use of
deplore,vt. 谴责，强烈反对,hate or dislike 
deploy,v.（有目的地）展开；调度，部署,spread out
deportation,n. 放逐,removal from a country
depose,"vi. 宣誓作证   vt. 废黜，罢免","1. testify 2. remove from a throne"
deposit,"n. 自然积累，沉积，矿藏    vt. 存钱","1. accumulation2. put in account"
depravity,n. 道德败坏,immoral harmful offensive
deprecate,"vt. 不喜欢   vt. 贬低，轻视","1. unfavorable opinion2. express scornfully"
depreciate,vt. 贬低…的价值,lower value
depressed,adj. 不开心的，情绪不高的，消沉的,unhappiness
deprivation,n. 匮乏,privation
deracinate,vt. 根除,pull out
derelict,adj. 玩忽职守的，不认真的,lacking duty; carelessly
deride,vt. 嘲弄，嘲笑,contemptuous mirth
derivative,adj. 非原创的,lacking originality
descend,"v. 下降    v.世代相传","1. downward2. pass by inheritance"
divination,n. 预言,foretelling future
desecrate,vt. 亵渎，玷污,treat shamefully
desiccate,vt. 使缺乏活力,deprive vitality
designate,"vt. 任命 vt. 命名","1. to pick for a specific position or duty 2. give a name to"
